VarName1,VarName2
2021-10-11 00:00:01.173,0
2021-10-11 00:00:02.187,10
2021-10-11 00:00:04.217,0
2021-10-11 00:00:07.267,10
2021-10-11 00:00:09.297,0
2021-10-11 00:00:10.310,10
2021-10-11 00:00:11.327,0
2021-10-11 00:00:14.373,10
2021-10-11 00:00:16.403,0
2021-10-11 00:00:20.467,10
2021-10-11 00:00:21.480,0
2021-10-11 00:00:22.497,10
2021-10-11 00:00:23.513,0
2021-10-11 00:00:24.530,10
2021-10-11 00:00:25.543,0
2021-10-11 00:00:32.653,10
2021-10-11 00:00:33.667,0
2021-10-11 00:00:34.683,10
2021-10-11 00:00:36.713,0
2021-10-11 00:00:37.730,10
2021-10-11 00:00:39.760,0
2021-10-11 00:00:40.777,10
2021-10-11 00:00:43.823,0
2021-10-11 00:00:45.853,10
2021-10-11 00:00:47.883,0
2021-10-11 00:00:52.960,10
2021-10-11 00:00:54.993,0
2021-10-11 00:00:56.007,10
2021-10-11 00:00:57.023,0
2021-10-11 00:01:00.070,10
2021-10-11 00:01:01.083,0
2021-10-11 00:01:03.117,10
2021-10-11 00:01:12.253,0
2021-10-11 00:01:14.287,10
2021-10-11 00:01:16.317,0
2021-10-11 00:01:17.330,10
2021-10-11 00:01:18.347,0
2021-10-11 00:01:20.380,10
2021-10-11 00:01:21.393,0
2021-10-11 00:01:23.427,10
2021-10-11 00:01:25.457,0
2021-10-11 00:01:27.487,10
2021-10-11 00:01:28.503,0
2021-10-11 00:01:29.517,10
2021-10-11 00:01:30.533,0
2021-10-11 00:01:36.617,10
2021-10-11 00:01:37.633,0
2021-10-11 00:01:38.647,10
2021-10-11 00:01:39.663,0
2021-10-11 00:01:49.817,10
2021-10-11 00:01:50.833,0
2021-10-11 00:01:51.850,10
2021-10-11 00:01:53.880,0
2021-10-11 00:02:02.003,10
2021-10-11 00:02:03.017,0
2021-10-11 00:02:06.067,10
2021-10-11 00:02:07.080,0
2021-10-11 00:02:08.097,10
2021-10-11 00:02:09.110,0
2021-10-11 00:02:11.143,10
2021-10-11 00:02:12.157,0
2021-10-11 00:02:14.187,10
2021-10-11 00:02:15.203,0
2021-10-11 00:02:17.233,10
2021-10-11 00:02:18.250,0
2021-10-11 00:02:19.267,10
2021-10-11 00:02:21.300,0
2021-10-11 00:02:22.317,10
2021-10-11 00:02:24.347,0
2021-10-11 00:02:25.360,10
2021-10-11 00:02:27.393,0
2021-10-11 00:02:29.423,10
2021-10-11 00:02:34.500,0
2021-10-11 00:02:43.640,10
2021-10-11 00:02:45.670,0
2021-10-11 00:02:47.703,10
2021-10-11 00:02:48.717,0
2021-10-11 00:02:49.733,10
2021-10-11 00:02:52.780,0
2021-10-11 00:02:58.873,10
2021-10-11 00:03:00.903,0
2021-10-11 00:03:01.917,10
2021-10-11 00:03:02.933,0
2021-10-11 00:03:04.963,10
2021-10-11 00:03:06.997,0
2021-10-11 00:03:11.057,10
2021-10-11 00:03:15.120,0
2021-10-11 00:03:16.133,10
2021-10-11 00:03:17.150,0
2021-10-11 00:03:21.210,10
2021-10-11 00:03:22.227,0
2021-10-11 00:03:23.243,10
2021-10-11 00:03:24.257,0
2021-10-11 00:03:29.337,10
2021-10-11 00:03:30.350,0
2021-10-11 00:03:32.380,10
2021-10-11 00:03:34.413,0
2021-10-11 00:03:37.457,10
2021-10-11 00:03:38.467,0
2021-10-11 00:03:46.587,10
2021-10-11 00:03:47.603,0
2021-10-11 00:03:48.620,10
2021-10-11 00:03:50.650,0
2021-10-11 00:03:52.680,10
2021-10-11 00:03:53.697,0
2021-10-11 00:03:56.743,10
2021-10-11 00:03:57.757,0
2021-10-11 00:04:06.897,10
2021-10-11 00:04:07.913,0
2021-10-11 00:04:10.960,10
2021-10-11 00:04:11.977,0
2021-10-11 00:04:12.990,10
2021-10-11 00:04:14.007,0
2021-10-11 00:04:16.037,10
2021-10-11 00:04:17.053,0
2021-10-11 00:04:21.113,10
2021-10-11 00:04:22.130,0
2021-10-11 00:04:23.147,10
2021-10-11 00:04:25.177,0
2021-10-11 00:04:26.190,10
2021-10-11 00:04:27.207,0
2021-10-11 00:04:28.223,10
2021-10-11 00:04:29.237,0
2021-10-11 00:04:36.347,10
2021-10-11 00:04:37.363,0
2021-10-11 00:04:38.377,10
2021-10-11 00:04:39.393,0
2021-10-11 00:04:42.440,10
2021-10-11 00:04:43.457,0
2021-10-11 00:04:44.470,10
2021-10-11 00:04:45.487,0
2021-10-11 00:04:48.533,10
2021-10-11 00:04:50.563,0
2021-10-11 00:04:55.640,10
2021-10-11 00:04:57.670,0
2021-10-11 00:05:03.763,10
2021-10-11 00:05:04.780,0
2021-10-11 00:05:05.793,10
2021-10-11 00:05:06.810,0
2021-10-11 00:05:08.840,10
2021-10-11 00:05:10.870,0
2021-10-11 00:05:13.917,10
2021-10-11 00:05:15.950,0
2021-10-11 00:05:17.980,10
2021-10-11 00:05:20.010,0
2021-10-11 00:05:21.027,10
2021-10-11 00:05:23.057,0
2021-10-11 00:05:29.150,10
2021-10-11 00:05:30.163,0
2021-10-11 00:05:31.180,10
2021-10-11 00:05:33.210,0
2021-10-11 00:05:37.260,10
2021-10-11 00:05:38.277,0
2021-10-11 00:05:39.290,10
2021-10-11 00:05:41.320,0
2021-10-11 00:05:42.337,10
2021-10-11 00:05:45.383,0
2021-10-11 00:05:48.430,10
2021-10-11 00:05:50.460,0
2021-10-11 00:05:52.490,10
2021-10-11 00:05:53.507,0
2021-10-11 00:05:56.553,10
2021-10-11 00:05:58.587,0
2021-10-11 00:06:02.647,10
2021-10-11 00:06:03.663,0
2021-10-11 00:06:06.710,10
2021-10-11 00:06:07.723,0
2021-10-11 00:06:09.757,10
2021-10-11 00:06:10.770,0
2021-10-11 00:06:34.117,10
2021-10-11 00:06:36.147,0
2021-10-11 00:06:41.227,10
2021-10-11 00:06:44.270,0
2021-10-11 00:06:45.287,10
2021-10-11 00:06:46.303,0
2021-10-11 00:06:47.317,10
2021-10-11 00:06:48.333,0
